Nome,Sobrenome,Altura,Peso,Data Nascimento
Kolo,TOURÉ,178,74,1981-03-19
Philippe,SENDEROS,190,84,1985-02-14
Emmanuel,EBOUÉ,178,72,1983-06-04
Justin,HOYTE,180,67,1984-11-20
Gaël,CLICHY,181,72,1985-07-26
Ashley,COLE,176,66,1980-12-20
Johan,DJOUROU,191,87,1987-01-18
Patrick,CREGG,175,65,1986-02-21
Sebastian,LARSSON,178,70,1985-06-06
Cesc,FÀBREGAS,175,74,1987-05-04
Mathieu,FLAMINI,178,67,1984-03-07
Aleksandr,HLEB,178,69,1981-05-01
Robin,VAN PERSIE,183,71,1983-08-06
José Antonio,REYES,176,76,1983-09-01
Quincy,OWUSU-ABEYIE,180,74,1986-04-15
Arturo,LUPOLI,175,66,1987-06-24
Stuart,TAYLOR,196,86,1980-11-28
Thomas,SORENSEN,195,89,1976-06-12
Liam,RIDGEWELL,188,78,1984-07-21
Jlloyd,SAMUEL,180,71,1981-03-29
Gary,CAHILL,193,86,1985-12-19
Aaron,HUGHES,183,78,1979-11-08
Peter,WHITTINGHAM,178,63,1984-09-08
Gareth,BARRY,183,78,1981-02-23
Eric,DJEMBA-DJEMBA,180,78,1981-05-04
Steven,DAVIS,172,72,1985-01-01
Luke,MOORE,180,76,1986-02-13
Scott,FLINDERS,193,88,1986-06-12
Ross,TURNBULL,193,85,1985-01-04
Neil,AUSTIN,177,74,1983-04-26
Paul,REID,188,73,1982-02-18
Rob,ATKINSON,185,76,1987-04-29
Bobby,HASSELL,178,76,1980-06-04
Robbie,WILLIAMS,178,71,1984-10-02
Dale,TONGE,177,66,1985-05-07
Antony,KAY,184,85,1982-10-21
Stephen,MCPHAIL,177,76,1979-12-09
Nicky,WROE,180,75,1985-09-28
Danny,NARDIELLO,180,72,1982-10-22
Brian,HOWARD,172,70,1983-01-23
Paul,HAYES,182,81,1983-09-20
Matthew,UPSON,185,72,1979-04-18
Alex,BRUCE,180,73,1984-09-28
Mat,SADLER,183,75,1984-02-26
Jermaine,PENNANT,173,68,1983-01-15
Emile,HESKEY,190,88,1978-01-11
Clinton,MORRISON,178,63,1979-05-14
Njazi,KUQI,192,82,1983-03-25
Mikael,FORSSELL,178,68,1981-03-15
Jay,MCEVELEY,183,81,1985-02-11
Jonathan,DOUGLAS,180,75,1981-11-22
Gary,HARKINS,187,80,1985-01-02
Morten,PEDERSEN,180,73,1981-09-08
Jay,BOTHROYD,190,82,1982-05-05
Jemal,JOHNSON,172,74,1985-05-03
Paul,GALLAGHER,183,79,1984-08-09
Peter,CLARKE,188,83,1982-01-03
Phil,DOUGHTY,187,83,1986-09-06
Sean,CLANCY,172,62,1987-09-16
Danny,COID,180,73,1981-10-03
Simon,WILES,178,74,1985-04-22
Matthew,BLINKHORN,182,68,1985-03-02
Scott,VERNON,182,74,1983-12-13
Keigan,PARKER,170,66,1982-06-08
Andy,MANGAN,175,64,1986-08-30
Jussi,JÄÄSKELÄINEN,193,80,1975-04-17
Tal,BEN HAIM,181,87,1982-03-31
Nicky,HUNT,185,86,1983-09-03
Joey,O'BRIEN,180,70,1986-02-17
Kevin,NOLAN,182,88,1982-06-24
El Hadji,DIOUF,180,75,1981-01-15
Ricardo,VAZ TÉ,187,79,1986-10-01
Andy,WILLIAMS,189,68,1986-08-14
David,NOBLE,183,78,1982-02-02
Shaun,MAHER,,,1978-06-10
James,O&#39;CONNOR,178,78,1984-11-20
Warren,CUMMINGS,175,72,1980-10-15
Brian,STOCK,180,71,1981-12-24
James,HAYTER,175,69,1979-04-09
Donovan,RICKETTS,185,72,1977-06-07
Steve,SCHUMACHER,180,75,1984-04-30
Danny,FORREST,180,75,1984-10-23
Stuart,NELSON,187,84,1981-09-17
Michael,TURNER,193,90,1983-11-09
Ólafur,SKÚLASON,183,74,1983-04-01
Jay,TABB,170,64,1984-02-21
Eddie,HUTCHINSON,188,75,1982-02-23
Ryan,PETERS,173,66,1987-08-21
Adam,EL-ABD,180,88,1984-09-11
Albert,JARRETT,180,70,1984-10-23
Chris,MCPHEE,182,74,1983-03-20
Colin,KAZIM-RICHARDS,185,68,1986-08-26
Dean,HAMMOND,182,74,1983-03-07
Paul,REID,178,75,1979-07-06
Jake,ROBINSON,175,65,1986-10-23
Richard,KEOGH,188,71,1986-08-11
Clayton,FORTUNE,190,87,1982-11-10
Scott,GOLBOURNE,175,77,1988-02-29
Craig,WOODMAN,175,69,1982-12-22
Cole,SKUSE,185,72,1986-03-29
Luke,WILKSHIRE,176,72,1981-10-02
Scott,BROWN,170,64,1985-05-08
David,COTTERILL,175,71,1987-12-04
Steven,GILLESPIE,175,70,1985-06-04
Ryan,CLARKE,188,82,1982-04-30
Craig,DISLEY,177,69,1981-08-24
Scott,SINCLAIR,177,69,1989-03-25
Brian,JENSEN,185,78,1975-06-08
Gabriel,ÖZKAN,174,63,1986-05-23
Henoch,CONOMBO,180,75,1986-06-13
Miran,BURGIČ,181,74,1984-09-25
Brian,BARRY-MURPHY,185,78,1978-07-27
John,HARDIKER,182,71,1982-07-07
Tom,KENNEDY,180,79,1985-06-24
Adam,TANN,183,74,1982-05-12
Dan,GLEESON,190,83,1985-02-17
Matt,SOMNER,183,,1982-12-08
Ashley,NICHOLLS,180,75,1981-10-30
Chris,GOOZE,190,92,1983-12-17
Marcin,SIEDLARZ,178,70,1988-02-15
Michael,MORRISON,183,76,1988-03-03
Glenn,WILSON,180,66,1986-03-16
Neil,ALEXANDER,185,73,1978-03-10
Glenn,LOOVENS,177,74,1983-09-22
Chris,BARKER,187,83,1980-03-02
Joe,LEDLEY,183,75,1987-01-23
Stuart,FLEETWOOD,177,73,1986-04-23
Cameron,JEROME,185,85,1986-10-14
Garry,BOCALY,180,74,1988-04-19
Danny,LIVESEY,190,80,1984-12-31
Simon,GRAND,185,65,1984-02-23
Will,MCDONAGH,,,1983-03-14
Brendan,MCGILL,,,1981-03-22
Karl,HAWLEY,173,71,1981-12-06
Stephan,ANDERSEN,188,82,1981-11-26
Osei,SANKOFA,180,73,1985-03-19
Jonathan,SPECTOR,182,79,1986-03-01
Kelly,YOUGA,183,75,1985-09-22
Darren,AMBROSE,183,77,1984-02-29
Lloyd,SAM,172,63,1984-09-27
Jerome,THOMAS,177,82,1983-03-23
Darren,BENT,180,73,1984-02-06
Kevin,LISBIE,178,69,1978-10-17
Lenny,PIDGELEY,190,84,1984-02-07
Petr,ČECH,196,91,1982-05-20
Ricardo,CARVALHO,181,78,1978-05-18
Robert,HUTH,191,88,1984-08-18
John,TERRY,187,90,1980-12-07
Steven,WATT,190,88,1985-05-01
Glen,JOHNSON,181,85,1984-08-23
Lassana,DIARRA,173,68,1985-03-10
Shaun,WRIGHT-PHILLIPS,167,64,1981-10-25
Frank,LAMPARD,184,80,1978-06-20
Joe,COLE,176,73,1981-11-08
Mendes,TIAGO,183,71,1981-05-02
Jirí,JAROSÍK,195,89,1977-10-27
Arjen,ROBBEN,180,80,1984-01-23
Didier,DROGBA,189,91,1978-03-11
Carlton,COLE,191,78,1983-11-12
Eidur,GUDJOHNSEN,185,90,1978-09-15
Scott,BROWN,187,83,1985-04-26
Gavin,CAINES,185,76,1983-09-20
Brian,WILSON,178,71,1983-05-09
Ashley,VINCENT,183,73,1985-05-26
Kayode,ODEJAYI,191,77,1982-02-21
Barry,ROCHE,193,78,1982-04-06
Aaron,DOWNES,185,82,1985-05-15
Alex,BAILEY,175,66,1983-09-21
Derek,NIVEN,185,70,1983-12-12
Caleb,FOLAN,185,80,1982-10-26
Adam,SMITH,182,78,1985-02-20
Colin,LARKIN,175,73,1982-04-27
Dean,GERKEN,183,77,1985-05-22
Pat,BALDWIN,187,69,1982-11-12
John,WHITE,183,70,1986-07-26
Greg,HALFORD,193,81,1984-12-08
Neil,DANNS,175,77,1982-11-23
Richard,GARCÍA,180,76,1981-09-04
Jamie,GUY,185,82,1987-08-01
Matt,HEATH,193,90,1981-01-11
Richard,DUFFY,181,67,1985-08-30
Michael,DOYLE,172,69,1981-07-08
Isaac,OSBOURNE,175,74,1986-06-22
Lloyd,DYER,173,65,1982-09-13
Gary,MCSHEFFREY,173,66,1982-08-13
Andy,MORRELL,180,72,1974-09-28
Ben,WILLIAMS,188,86,1982-08-27
Mark,ROBERTS,185,76,1983-10-16
Chris,MCCREADY,185,78,1981-09-05
Billy,JONES,182,79,1987-03-24
Paul,BIGNOT,185,78,1986-02-14
Anthony,TONKIN,180,77,1980-01-17
David,VAUGHAN,170,66,1983-02-18
Gary,ROBERTS,173,,1987-02-02
Justin,COCHRANE,,,1982-01-26
Michael,HIGDON,186,79,1983-09-02
Luke,VARNEY,180,70,1982-09-28
Steve,JONES,177,65,1976-10-25
Mat,BAILEY,196,98,1986-03-12
Luke,RODGERS,170,71,1982-01-01
Julián,SPERONI,186,87,1979-05-18
Gábor,KIRÀLY,190,85,1976-04-01
Mark,HUDSON,185,77,1982-03-30
Darren,WARD,190,80,1978-09-13
Emmerson,BOYCE,180,73,1979-09-24
Gary,BORROWDALE,183,83,1985-07-16
Sam,TOGWELL,180,78,1984-10-14
Danny,BUTTERFIELD,180,71,1979-11-21
Ben,WATSON,178,68,1985-07-09
Balázs,BORBELY,182,76,1979-10-02
Tom,SOARES,183,72,1986-07-10
Jobi,MCANUFF,177,73,1981-11-09
Peter,JUNGSCHLAGER,182,81,1984-05-22
Sándor,TORGHELLE,186,86,1982-05-05
Sam,RUSSELL,183,69,1982-10-04
Matthew,CLARKE,,,1980-12-18
Ryan,VALENTINE,,,1982-08-19
Dave,MCGURK,182,74,1982-09-30
Joe,KENDRICK,182,72,1983-06-26
Clark,KELTIE,,,1983-08-31
Lee,GRANT,187,82,1983-01-27
Lee,CAMP,183,75,1984-08-22
Andrew,DAVIES,190,83,1984-12-17
Pablo,MILLS,180,72,1984-05-27
Nathan,DOYLE,180,76,1987-01-12
Adam,BOLDER,175,67,1980-10-25
Lee,HOLMES,173,66,1987-04-02
Marcus,TUDGAY,178,80,1983-02-03
Craig,NELTHORPE,177,69,1987-06-10
Sean,THORNTON,173,78,1983-05-18
Paul,GREEN,170,77,1983-04-10
Ricky,RAVENHILL,177,75,1981-01-16
James,COPPINGER,174,65,1981-01-10
Lewis,GUY,178,67,1985-08-27
Paul,HEFFERNAN,177,69,1981-12-29
Iain,TURNER,190,76,1984-01-26
John,RUDDY,193,96,1986-10-24
Tony,HIBBERT,173,70,1981-02-20
Leon,OSMAN,174,63,1981-05-17
Tim,CAHILL,177,68,1979-12-06
James,MCFADDEN,178,70,1983-04-14
James,VAUGHAN,180,79,1988-07-14
Jaroslav,DROBNÝ,192,90,1979-10-18
Zesh,REHMAN,189,86,1983-10-14
Liam,FONTAINE,189,83,1986-01-07
Dean,LEACOCK,191,80,1984-06-10
Adam,GREEN,176,69,1984-01-12
Liam,ROSENIOR,178,77,1984-07-09
Michael,TIMLIN,178,74,1985-03-19
Steed,MALBRANQUE,172,73,1980-01-06
Darren,PRATLEY,185,69,1985-04-22
Collins,JOHN,182,82,1985-10-17
